FULL_Label,ID,Sample_ID,REP,FERT,FERT_num,Microbe,Aboveground_g,Belowground_g,Total_g
ID#1_0x_C_R1,1,0x_C,1,0X,0,control (-bacteria),0.193,0.045,0.238
ID#2_0x_C_R2,2,0x_C,2,0X,0,control (-bacteria),0.094,0.024,0.118
ID#3_0x_C_R3,3,0x_C,3,0X,0,control (-bacteria),0.022,0.01,0.032
ID#4_0x_C_R4,4,0x_C,4,0X,0,control (-bacteria),0.295,0.106,0.401
ID#5_0x_C_R5,5,0x_C,5,0X,0,control (-bacteria),0.137,0.022,0.159
ID#6_0.5x_C_R1,6,0.5x_C,1,0.5X,0.5,control (-bacteria),0.117,0.051,0.168
ID#7_0.5x_C_R2,7,0.5x_C,2,0.5X,0.5,control (-bacteria),0.142,0.028,0.17
ID#8_0.5x_C_R3,8,0.5x_C,3,0.5X,0.5,control (-bacteria),0.243,0.039,0.282
ID#9_0.5x_C_R4,9,0.5x_C,4,0.5X,0.5,control (-bacteria),0.119,0.026,0.145
ID#10_0.5x_C_R5,10,0.5x_C,5,0.5X,0.5,control (-bacteria),0.236,0.051,0.287
ID#11_1x_C_R1,11,1x_C,1,1.0X,1,control (-bacteria),0.171,0.038,0.209
ID#12_1x_C_R2,12,1x_C,2,1.0X,1,control (-bacteria),0.133,0.014,0.147
ID#13_1x_C_R3,13,1x_C,3,1.0X,1,control (-bacteria),0.171,0.029,0.2
ID#14_1x_C_R4,14,1x_C,4,1.0X,1,control (-bacteria),0.234,0.032,0.266
ID#15_1x_C_R5,15,1x_C,5,1.0X,1,control (-bacteria),0.166,0.017,0.183
ID#16_1.5x_C_R1,16,1.5x_C,1,1.5X,1.5,control (-bacteria),0.364,0.073,0.437
ID#17_1.5x_C_R2,17,1.5x_C,2,1.5X,1.5,control (-bacteria),0.403,0.069,0.472
ID#18_1.5x_C_R3,18,1.5x_C,3,1.5X,1.5,control (-bacteria),0.115,0.041,0.156
ID#19_1.5x_C_R4,19,1.5x_C,4,1.5X,1.5,control (-bacteria),0.115,0.02,0.135
ID#20_1.5x_C_R5,20,1.5x_C,5,1.5X,1.5,control (-bacteria),0.159,0.18,0.339
ID#21_2x_C_R1,21,2x_C,1,2.0X,2,control (-bacteria),0.488,0.063,0.551
ID#22_2x_C_R2,22,2x_C,2,2.0X,2,control (-bacteria),0.247,0.032,0.279
ID#23_2x_C_R3,23,2x_C,3,2.0X,2,control (-bacteria),0.181,0.047,0.228
ID#24_2x_C_R4,24,2x_C,4,2.0X,2,control (-bacteria),0.169,0.043,0.212
ID#25_2x_C_R5,25,2x_C,5,2.0X,2,control (-bacteria),0.227,0.019,0.246
ID#26_0x_M_R1,26,0x_M,1,0X,0,unfert,0.363,0.061,0.424
ID#27_0x_M_R2,27,0x_M,2,0X,0,unfert,0.125,0.023,0.148
