chickID,weight,tarsus,bci,day,parents,treat,season,survival
Ch1,5,,,0,B,Fi,summer,died
Ch1,6,,,1,B,Fi,summer,died
Ch1,8,,,2,B,Fi,summer,died
Ch1,11,,,3,B,Fi,summer,died
Ch1,11,,,4,B,Fi,summer,died
Ch1,12,,,5,B,Fi,summer,died
Ch1,11,,,6,B,Fi,summer,died
Ch2,8,,,0,B,P,summer,survived
Ch2,21,,,2,B,P,summer,survived
Ch2,27,,,3,B,P,summer,survived
Ch2,36,,,4,B,P,summer,survived
Ch2,44,,,5,B,P,summer,survived
Ch2,56,,,6,B,P,summer,survived
Ch2,66,,,7,B,P,summer,survived
Ch2,67,,,8,B,P,summer,survived
Ch2,74,,,9,B,P,summer,survived
Ch2,74,,,10,B,P,summer,survived
Ch2,81,,,11,B,P,summer,survived
Ch2,85,,,13,B,P,summer,survived
Ch2,128,,,35,B,P,summer,survived
Ch2,136,22,6.181818182,44,B,P,summer,survived
Ch2,135,22,6.136363636,58,B,P,summer,survived
Ch2,139,22.5,6.177777778,59,B,P,summer,survived
Ch2,142,23.5,6.042553191,73,B,P,summer,survived
Ch2,172,24,7.166666667,246,B,P,summer,survived
Ch3,6,,,0,D,Fi,summer,survived
Ch3,8,,,1,D,Fi,summer,survived
Ch3,10,,,2,D,Fi,summer,survived
Ch3,12,,,3,D,Fi,summer,survived
Ch3,16,,,4,D,Fi,summer,survived
Ch3,25,,,5,D,Fi,summer,survived
Ch3,36,,,6,D,Fi,summer,survived
Ch3,38,,,7,D,Fi,summer,survived
Ch3,85,,,11,D,Fi,summer,survived
Ch3,83,,,12,D,Fi,summer,survived
Ch3,129,21,6.142857143,68,D,Fi,summer,survived
Ch3,135,22,6.136363636,244,D,Fi,summer,survived
Ch4,7,,,1,D,F,summer,died
Ch4,9,,,2,D,F,summer,died
Ch4,12,,,3,D,F,summer,died
Ch4,16,,,4,D,F,summer,died
Ch4,22,,,5,D,F,summer,died
Ch4,26,,,6,D,F,summer,died
Ch5,15,,,1,E,P,summer,survived
Ch5,24,,,2,E,P,summer,survived
Ch5,38,,,3,E,P,summer,survived
Ch5,48,,,4,E,P,summer,survived
Ch5,62,,,5,E,P,summer,survived
Ch5,72,,,6,E,P,summer,survived
Ch5,76,,,7,E,P,summer,survived
Ch5,79,,,8,E,P,summer,survived
Ch5,91,,,10,E,P,summer,survived
Ch5,96,,,11,E,P,summer,survived
Ch5,96,,,12,E,P,summer,survived
Ch5,107,,,13,E,P,summer,survived
Ch5,102,,,15,E,P,summer,survived
Ch5,131,22.5,5.822222222,24,E,P,summer,survived
Ch5,133,,,25,E,P,summer,survived
Ch5,148,23,6.434782609,34,E,P,summer,survived
Ch5,155,23,6.739130435,39,E,P,summer,survived
Ch5,150,,,40,E,P,summer,survived
Ch5,151,24,6.291666667,41,E,P,summer,survived
Ch5,159,24,6.625,53,E,P,summer,survived
Ch5,174,24,7.25,226,E,P,summer,survived
Ch6,7,,,1,E,Fi,summer,survived
Ch6,12,,,2,E,Fi,summer,survived
Ch6,14,,,3,E,Fi,summer,survived
Ch6,37,,,6,E,Fi,summer,survived
Ch6,43,,,7,E,Fi,summer,survived
Ch6,51,,,8,E,Fi,summer,survived
Ch6,57,,,9,E,Fi,summer,survived
Ch6,66,,,10,E,Fi,summer,survived
Ch6,72,,,11,E,Fi,summer,survived
Ch6,76,,,12,E,Fi,summer,survived
Ch6,82,,,13,E,Fi,summer,survived
Ch6,83,,,14,E,Fi,summer,survived
Ch6,85,,,15,E,Fi,summer,survived
Ch6,81,,,16,E,Fi,summer,survived
Ch6,85,,,17,E,Fi,summer,survived
Ch6,88,,,19,E,Fi,summer,survived
Ch6,91,,,20,E,Fi,summer,survived
Ch6,100,,,22,E,Fi,summer,survived
Ch6,102,,,23,E,Fi,summer,survived
Ch6,105,,,24,E,Fi,summer,survived
Ch6,107,,,25,E,Fi,summer,survived
Ch6,113,,,28,E,Fi,summer,survived
Ch6,119,,,37,E,Fi,summer,survived
Ch6,120,20.5,5.853658537,49,E,Fi,summer,survived
Ch6,134,21,6.380952381,225,E,Fi,summer,survived
Ch7,6,,,1,A,F,summer,survived
Ch7,7,,,2,A,F,summer,survived
Ch7,8,,,3,A,F,summer,survived
Ch7,9,,,4,A,F,summer,survived
Ch7,13,,,5,A,F,summer,survived
