Bacterial_ID,Treatment,Growth1,Growth2,Growth3,Hour
263_AR,M,0.143,0.141,0.142,0
263_AR,M,0.143,0.140,0.141,0.5
263_AR,M,0.144,0.141,0.142,1
263_AR,M,0.143,0.141,0.142,1.5
263_AR,M,0.143,0.141,0.142,2
263_AR,M,0.143,0.141,0.142,2.5
263_AR,M,0.143,0.141,0.142,3
263_AR,M,0.143,0.141,0.142,3.5
263_AR,M,0.143,0.141,0.142,4
263_AR,M,0.143,0.141,0.142,4.5
263_AR,M,0.144,0.141,0.142,5
263_AR,M,0.143,0.141,0.142,5.5
263_AR,M,0.144,0.141,0.142,6
263_AR,M,0.143,0.141,0.142,6.5
263_AR,M,0.143,0.141,0.143,7
263_AR,M,0.143,0.141,0.143,7.5
263_AR,M,0.144,0.141,0.142,8
263_AR,M,0.144,0.142,0.143,8.5
263_AR,M,0.144,0.142,0.143,9
263_AR,M,0.144,0.142,0.143,9.5
263_AR,M,0.144,0.142,0.143,10
263_AR,M,0.144,0.142,0.143,10.5
263_AR,M,0.144,0.142,0.143,11
263_AR,M,0.144,0.142,0.143,11.5
263_AR,M,0.144,0.143,0.144,12
263_AR,M,0.144,0.143,0.144,12.5
263_AR,M,0.145,0.143,0.144,13
263_AR,M,0.145,0.143,0.144,13.5
263_AR,M,0.145,0.144,0.145,14
263_AR,M,0.145,0.144,0.145,14.5
263_AR,M,0.146,0.145,0.146,15
263_AR,M,0.146,0.145,0.146,15.5
263_AR,M,0.147,0.146,0.147,16
263_AR,M,0.147,0.147,0.147,16.5
263_AR,M,0.148,0.147,0.148,17
263_AR,M,0.149,0.148,0.149,17.5
263_AR,M,0.150,0.149,0.150,18
263_AR,M,0.151,0.151,0.151,18.5
263_AR,M,0.152,0.152,0.152,19
263_AR,M,0.154,0.154,0.153,19.5
263_AR,M,0.155,0.156,0.155,20
263_AR,M,0.157,0.158,0.157,20.5
263_AR,M,0.159,0.161,0.160,21
263_AR,M,0.161,0.164,0.162,21.5
263_AR,M,0.165,0.166,0.165,22
263_AR,M,0.167,0.168,0.166,22.5
263_AR,M,0.171,0.172,0.169,23
263_AR,M,0.176,0.172,0.172,23.5
263_AR,M,0.184,0.168,0.176,24
267_AR,MF,0.138,0.139,0.147,0
267_AR,MF,0.139,0.141,0.148,0.5
267_AR,MF,0.139,0.144,0.148,1
267_AR,MF,0.140,0.147,0.149,1.5
267_AR,MF,0.141,0.151,0.150,2
267_AR,MF,0.143,0.156,0.152,2.5
267_AR,MF,0.144,0.162,0.155,3
267_AR,MF,0.148,0.172,0.158,3.5
267_AR,MF,0.151,0.181,0.161,4
267_AR,MF,0.155,0.191,0.165,4.5
267_AR,MF,0.159,0.200,0.171,5
267_AR,MF,0.166,0.207,0.178,5.5
267_AR,MF,0.175,0.216,0.185,6
267_AR,MF,0.185,0.227,0.191,6.5
267_AR,MF,0.197,0.245,0.199,7
267_AR,MF,0.215,0.263,0.206,7.5
267_AR,MF,0.239,0.288,0.215,8
267_AR,MF,0.270,0.308,0.226,8.5
267_AR,MF,0.301,0.330,0.241,9
267_AR,MF,0.329,0.347,0.257,9.5
267_AR,MF,0.350,0.356,0.276,10
267_AR,MF,0.367,0.375,0.292,10.5
267_AR,MF,0.382,0.386,0.310,11
267_AR,MF,0.394,0.400,0.323,11.5
267_AR,MF,0.410,0.408,0.339,12
267_AR,MF,0.428,0.414,0.354,12.5
267_AR,MF,0.434,0.423,0.367,13
267_AR,MF,0.443,0.440,0.380,13.5
267_AR,MF,0.458,0.443,0.397,14
267_AR,MF,0.465,0.450,0.401,14.5
267_AR,MF,0.474,0.461,0.410,15
267_AR,MF,0.484,0.463,0.412,15.5
267_AR,MF,0.487,0.478,0.420,16
267_AR,MF,0.492,0.477,0.421,16.5
267_AR,MF,0.492,0.479,0.425,17
267_AR,MF,0.497,0.481,0.427,17.5
267_AR,MF,0.502,0.476,0.425,18
267_AR,MF,0.508,0.477,0.431,18.5
267_AR,MF,0.509,0.486,0.432,19
267_AR,MF,0.514,0.479,0.432,19.5
267_AR,MF,0.520,0.478,0.431,20
267_AR,MF,0.523,0.474,0.426,20.5
267_AR,MF,0.524,0.468,0.423,21
267_AR,MF,0.523,0.473,0.423,21.5
267_AR,MF,0.523,0.471,0.428,22
267_AR,MF,0.526,0.478,0.424,22.5
267_AR,MF,0.526,0.471,0.421,23
267_AR,MF,0.524,0.472,0.419,23.5
267_AR,MF,0.522,0.476,0.417,24
