Sample_ID,Treatment,Growth1,Growth2,Growth3,Hour
271_PK,M,0.149,0.143,0.144,0
271_PK,M,0.148,0.141,0.142,0.5
271_PK,M,0.146,0.142,0.141,1
271_PK,M,0.147,0.147,0.142,1.5
271_PK,M,0.150,0.148,0.145,2
271_PK,M,0.156,0.153,0.148,2.5
271_PK,M,0.165,0.149,0.151,3
271_PK,M,0.164,0.161,0.161,3.5
271_PK,M,0.167,0.167,0.169,4
271_PK,M,0.171,0.171,0.179,4.5
271_PK,M,0.174,0.179,0.181,5
271_PK,M,0.178,0.187,0.188,5.5
271_PK,M,0.183,0.195,0.194,6
271_PK,M,0.196,0.215,0.194,6.5
271_PK,M,0.210,0.228,0.205,7
271_PK,M,0.238,0.237,0.214,7.5
271_PK,M,0.255,0.242,0.226,8
271_PK,M,0.263,0.252,0.231,8.5
271_PK,M,0.268,0.262,0.251,9
271_PK,M,0.298,0.277,0.262,9.5
271_PK,M,0.288,0.279,0.273,10
271_PK,M,0.307,0.274,0.286,10.5
271_PK,M,0.309,0.272,0.291,11
271_PK,M,0.327,0.272,0.292,11.5
271_PK,M,0.331,0.283,0.284,12
271_PK,M,0.307,0.275,0.310,12.5
271_PK,M,0.339,0.271,0.294,13
271_PK,M,0.328,0.278,0.300,13.5
271_PK,M,0.309,0.272,0.308,14
271_PK,M,0.304,0.281,0.286,14.5
271_PK,M,0.294,0.288,0.305,15
271_PK,M,0.334,0.295,0.301,15.5
271_PK,M,0.321,0.286,0.307,16
271_PK,M,0.301,0.283,0.305,16.5
271_PK,M,0.309,0.278,0.304,17
271_PK,M,0.299,0.281,0.307,17.5
271_PK,M,0.298,0.281,0.304,18
271_PK,M,0.297,0.283,0.310,18.5
271_PK,M,0.300,0.284,0.308,19
271_PK,M,0.308,0.286,0.305,19.5
271_PK,M,0.303,0.279,0.305,20
271_PK,M,0.294,0.282,0.316,20.5
271_PK,M,0.298,0.282,0.310,21
271_PK,M,0.300,0.284,0.308,21.5
271_PK,M,0.302,0.288,0.307,22
271_PK,M,0.315,0.296,0.310,22.5
271_PK,M,0.307,0.289,0.310,23
271_PK,M,0.306,0.289,0.311,23.5
271_PK,M,0.307,0.291,0.314,24
315_PK,MF,0.143,0.143,0.142,0
315_PK,MF,0.137,0.143,0.140,0.5
315_PK,MF,0.137,0.144,0.140,1
315_PK,MF,0.139,0.144,0.142,1.5
315_PK,MF,0.142,0.146,0.144,2
315_PK,MF,0.146,0.152,0.147,2.5
315_PK,MF,0.146,0.158,0.149,3
315_PK,MF,0.151,0.169,0.166,3.5
315_PK,MF,0.162,0.173,0.168,4
315_PK,MF,0.168,0.177,0.171,4.5
315_PK,MF,0.174,0.182,0.173,5
315_PK,MF,0.179,0.185,0.179,5.5
315_PK,MF,0.181,0.176,0.182,6
315_PK,MF,0.185,0.184,0.190,6.5
315_PK,MF,0.189,0.200,0.195,7
315_PK,MF,0.192,0.204,0.200,7.5
315_PK,MF,0.194,0.209,0.206,8
315_PK,MF,0.199,0.212,0.209,8.5
315_PK,MF,0.197,0.227,0.219,9
315_PK,MF,0.202,0.250,0.228,9.5
315_PK,MF,0.210,0.248,0.230,10
315_PK,MF,0.207,0.267,0.242,10.5
315_PK,MF,0.203,0.278,0.247,11
315_PK,MF,0.212,0.286,0.255,11.5
315_PK,MF,0.207,0.295,0.269,12
315_PK,MF,0.214,0.304,0.267,12.5
315_PK,MF,0.224,0.303,0.278,13
315_PK,MF,0.224,0.296,0.289,13.5
315_PK,MF,0.224,0.306,0.298,14
315_PK,MF,0.220,0.316,0.313,14.5
315_PK,MF,0.221,0.331,0.326,15
315_PK,MF,0.235,0.340,0.338,15.5
315_PK,MF,0.238,0.345,0.345,16
315_PK,MF,0.224,0.360,0.350,16.5
315_PK,MF,0.237,0.358,0.349,17
315_PK,MF,0.231,0.360,0.337,17.5
315_PK,MF,0.249,0.343,0.234,18
315_PK,MF,0.260,0.243,0.257,18.5
315_PK,MF,0.272,0.258,0.270,19
315_PK,MF,0.286,0.276,0.281,19.5
315_PK,MF,0.298,0.292,0.290,20
315_PK,MF,0.308,0.302,0.302,20.5
315_PK,MF,0.322,0.315,0.309,21
315_PK,MF,0.334,0.324,0.317,21.5
315_PK,MF,0.345,0.331,0.323,22
315_PK,MF,0.357,0.337,0.330,22.5
315_PK,MF,0.369,0.343,0.337,23
315_PK,MF,0.378,0.349,0.344,23.5
315_PK,MF,0.385,0.353,0.350,24
