Bacterial_ID,Treatment,Growth1,Growth2,Growth3,Hour
315-PK,MF,0.15,0.144,0.145,0
315-PK,MF,0.146,0.146,0.147,0.5
315-PK,MF,0.147,0.145,0.146,1
315-PK,MF,0.147,0.146,0.147,1.5
315-PK,MF,0.149,0.147,0.149,2
315-PK,MF,0.149,0.148,0.148,2.5
315-PK,MF,0.154,0.158,0.151,3
315-PK,MF,0.16,0.166,0.163,3.5
315-PK,MF,0.169,0.175,0.163,4
315-PK,MF,0.177,0.181,0.17,4.5
315-PK,MF,0.183,0.19,0.174,5
315-PK,MF,0.19,0.196,0.185,5.5
315-PK,MF,0.198,0.205,0.193,6
315-PK,MF,0.202,0.212,0.196,6.5
315-PK,MF,0.209,0.221,0.205,7
315-PK,MF,0.216,0.229,0.211,7.5
315-PK,MF,0.224,0.241,0.22,8
315-PK,MF,0.226,0.254,0.229,8.5
315-PK,MF,0.231,0.266,0.237,9
315-PK,MF,0.235,0.275,0.249,9.5
315-PK,MF,0.243,0.301,0.261,10
315-PK,MF,0.253,0.315,0.273,10.5
315-PK,MF,0.26,0.336,0.283,11
315-PK,MF,0.269,0.347,0.296,11.5
315-PK,MF,0.278,0.353,0.302,12
315-PK,MF,0.287,0.364,0.307,12.5
315-PK,MF,0.296,0.366,0.305,13
315-PK,MF,0.307,0.37,0.297,13.5
315-PK,MF,0.32,0.286,0.285,14
315-PK,MF,0.333,0.297,0.31,14.5
315-PK,MF,0.348,0.323,0.334,15
315-PK,MF,0.365,0.35,0.346,15.5
315-PK,MF,0.378,0.369,0.354,16
315-PK,MF,0.391,0.384,0.362,16.5
315-PK,MF,0.401,0.394,0.365,17
315-PK,MF,0.413,0.402,0.369,17.5
315-PK,MF,0.424,0.408,0.374,18
315-PK,MF,0.432,0.415,0.379,18.5
315-PK,MF,0.442,0.423,0.385,19
315-PK,MF,0.45,0.428,0.391,19.5
315-PK,MF,0.458,0.432,0.398,20
315-PK,MF,0.464,0.437,0.404,20.5
315-PK,MF,0.472,0.443,0.41,21
315-PK,MF,0.478,0.447,0.416,21.5
315-PK,MF,0.483,0.451,0.423,22
315-PK,MF,0.485,0.457,0.429,22.5
315-PK,MF,0.493,0.462,0.434,23
315-PK,MF,0.496,0.466,0.438,23.5
315-PK,MF,0.498,0.47,0.443,24
271-PK,M,0.147,0.147,0.147,0
271-PK,M,0.147,0.15,0.15,0.5
271-PK,M,0.146,0.149,0.149,1
271-PK,M,0.146,0.148,0.148,1.5
271-PK,M,0.147,0.149,0.149,2
271-PK,M,0.152,0.152,0.152,2.5
271-PK,M,0.152,0.156,0.156,3
271-PK,M,0.154,0.159,0.159,3.5
271-PK,M,0.17,0.167,0.167,4
271-PK,M,0.182,0.174,0.174,4.5
271-PK,M,0.193,0.188,0.188,5
271-PK,M,0.196,0.206,0.206,5.5
271-PK,M,0.204,0.208,0.208,6
271-PK,M,0.213,0.221,0.221,6.5
271-PK,M,0.219,0.228,0.228,7
271-PK,M,0.232,0.233,0.233,7.5
271-PK,M,0.232,0.242,0.242,8
271-PK,M,0.243,0.252,0.252,8.5
271-PK,M,0.25,0.257,0.257,9
271-PK,M,0.26,0.272,0.272,9.5
271-PK,M,0.274,0.276,0.276,10
271-PK,M,0.274,0.281,0.281,10.5
271-PK,M,0.282,0.291,0.291,11
271-PK,M,0.28,0.288,0.288,11.5
271-PK,M,0.29,0.288,0.288,12
271-PK,M,0.297,0.293,0.293,12.5
271-PK,M,0.31,0.303,0.303,13
271-PK,M,0.324,0.31,0.31,13.5
271-PK,M,0.341,0.32,0.32,14
271-PK,M,0.367,0.325,0.325,14.5
271-PK,M,0.389,0.35,0.35,15
271-PK,M,0.409,0.373,0.373,15.5
271-PK,M,0.42,0.385,0.385,16
271-PK,M,0.429,0.395,0.395,16.5
271-PK,M,0.438,0.401,0.401,17
271-PK,M,0.448,0.406,0.406,17.5
271-PK,M,0.456,0.414,0.414,18
271-PK,M,0.464,0.421,0.421,18.5
271-PK,M,0.471,0.427,0.427,19
271-PK,M,0.478,0.434,0.434,19.5
271-PK,M,0.486,0.44,0.44,20
271-PK,M,0.494,0.449,0.449,20.5
271-PK,M,0.498,0.455,0.455,21
271-PK,M,0.505,0.462,0.462,21.5
271-PK,M,0.51,0.466,0.466,22
271-PK,M,0.516,0.472,0.472,22.5
271-PK,M,0.517,0.476,0.476,23
271-PK,M,0.522,0.485,0.485,23.5
271-PK,M,0.526,0.489,0.489,24
